Продукт,Калорийность,Белки,Жиры,Углеводы
Глазированный Вафельный Торт [Яшкино],530 кКал,"6,3 г",32 г,55 г
Глазированный Вафельный Торт Ореховый [Яшкино],540 кКал,6 г,32 г,56 г
Горький Шоколад с Кусочками Какао-Бобов [Яшкино],560 кКал,8 г,48 г,25 г
Грановская Кунжутка [Яшкино],547 кКал,11 г,34 г,"49,2 г"
Дивная Даренка [Яшкино],380 кКал,1 г,3 г,87 г
Драже Арахис в Молочной Шоколадной Глазури [Яшкино],490 кКал,11 г,27 г,53 г
"Жевательные Конфеты ""Нота Бум"" [Яшкино]",420 кКал,"5,3 г","13,1 г",82 г
Жевательный Мармелад [Яшкино],310 кКал,2 г,0 г,76 г
Заварики [Яшкино],532 кКал,"11,4 г","28,5 г","50,5 г"
Заварные Пышечки в Белой Глазури [Яшкино],435 кКал,"6,2 г",22 г,"53,5 г"
Зебра [Яшкино],490 кКал,"7,5 г",27 г,54 г
Зебра Мини [Яшкино],430 кКал,6 г,23 г,52 г
Зефир в Кондитерской Глазури [Яшкино],380 кКал,2 г,10 г,71 г
Зефир в Шоколаде [Яшкино],390 кКал,"1,5 г","9,5 г",74 г
Зефир Ванильный [Яшкино],330 кКал,1 г,0 г,76 г
Зефир Ванильный Belucci [Яшкино],320 кКал,1 г,0 г,79 г
Зефир с Малиной [Яшкино],320 кКал,1 г,0 г,79 г
Золотая Рыбка Крекер [Яшкино],430 кКал,"8,5 г",13 г,69 г
Изюм в Сахарной Глазури [Яшкино],330 кКал,"0,5 г","0,1 г",88 г
Импульс [Яшкино],485 кКал,"7,2 г","24,3 г","59,2 г"
Ирис Нота Бум [Яшкино],411 кКал,"3,8 г","8,7 г","81,9 г"
Ирис с Арахисом [Яшкино],460 кКал,8 г,18 г,66 г
Ирис с Шоколадным Вкусом [Яшкино],400 кКал,3 г,"8,5 г",79 г
Ирис Сливочный [Яшкино],420 кКал,"2,1 г","8,5 г",84 г
Ирис Тираженный с Арахисом [Яшкино],460 кКал,8 г,18 г,66 г
Итальянский Кекс [Яшкино],380 кКал,"5,5 г",18 г,49 г
Итальянский Кекс с Вишневым Джемом и Шоколадным Кремом [Яшкино],390 кКал,"5,5 г",19 г,50 г
Итальянский Кекс с Клубничным Джемом и Сливочным Кремом [Яшкино],380 кКал,"5,5 г",18 г,50 г
Итальянский Круассан с Шоколадным Кремом [Яшкино],420 кКал,"6,5 г",21 г,50 г
Итальянский Круассан со Сливочным Кремом [Яшкино],410 кКал,"6,5 г",19 г,52 г
Итальянский Круассан со Сливочным Кремом [Яшкино],180 кКал,3 г,9 г,22 г
Карамель в Глазури Дворянка [Яшкино],400 кКал,"3,5 г",5 г,86 г
Карамельный Шоколад [Яшкино],570 кКал,9 г,36 г,53 г
Классический Крекер [Яшкино],460 кКал,"8,5 г",18 г,66 г
Конфета Белуччи [Яшкино],440 кКал,"1,5 г",21 г,60 г
Конфета Итальяна [Яшкино],413 кКал,"2,9 г","12,6 г","73,3 г"
Конфета Крокант с Миндалем [Яшкино],570 кКал,"5,6 г","38,1 г","48,9 г"
Конфета Мексикана [Яшкино],510 кКал,"4,4 г","29,9 г","55,8 г"
Конфета Ярче [Яшкино],533 кКал,"6,7 г","30,3 г","58,5 г"
Конфета Яшкинская Картошка [Яшкино],533 кКал,"7,8 г","12,5 г","53,7 г"
"Конфеты ""Загорская Сливочная"" [Яшкино]",390 кКал,"2,5 г",4 г,85 г
"Конфеты ""Чио Рио"" [Яшкино]",315 кКал,2 г,"19,2 г","33,6 г"
Конфеты Belucci [Яшкино],430 кКал,"1,5 г",20 г,61 г
Конфеты Elle с Шоколадно-Ореховой Начинкой [Яшкино],520 кКал,"4,5 г",27 г,65 г
Конфеты Glaze [Яшкино],420 кКал,"1,5 г",12 г,76 г
Конфеты Белая Черемуха [Яшкино],380 кКал,"2,5 г","14,2 г","63,8 г"
Конфеты Бон Тайм [Яшкино],438 кКал,"2,4 г","15,4 г","38,6 г"
Конфеты Версаль [Яшкино],410 кКал,"2,5 г",11 г,77 г
Конфеты Глэйс [Яшкино],410 кКал,2 г,12 г,73 г
Конфеты Желейные Эки-Боки [Яшкино],310 кКал,2 г,0 г,76 г
Конфеты Крокант [Яшкино],396 кКал,"5,6 г","38,1 г","48,9 г"
Конфеты Крокант [Яшкино],24 кКал,"0,3 г","2,3 г","2,9 г"
Конфеты Нильс [Яшкино],392 кКал,0 г,"0,1 г","96,2 г"
Конфеты Томские Классические [Яшкино],440 кКал,"2,5 г",22 г,57 г
Конфеты Фэнси [Яшкино],320 кКал,"0,9 г","7,4 г","71,3 г"
Конфеты Ярче [Яшкино],478 кКал,"10,3 г","24,4 г",53 г
Конфеты Яшкинская Картошка [Яшкино],486 кКал,"5,4 г","29,6 г","49,7 г"
"Крекер ""Золотая Рыбка"" [Яшкино]",420 кКал,9 г,14 г,71 г
Крекер Визит Нежности [Яшкино],460 кКал,8 г,20 г,62 г
Крекер Поляна Сказок [Яшкино],470 кКал,"7,5 г",21 г,62 г
Крекер с Кунжутом [Яшкино],510 кКал,"8,5 г",24 г,66 г
Крекер с Солью [Яшкино],450 кКал,9 г,15 г,67 г
Крекер с Сыром [Яшкино],450 кКал,"8,5 г",20 г,60 г
Крекер с Томатом и Базиликом [Яшкино],460 кКал,9 г,18 г,63 г
Крекер со Злаками [Яшкино],440 кКал,"9,5 г",19 г,61 г
Крекер Французский [Яшкино],490 кКал,8 г,23 г,62 г
Крекер Французский с Кунжутом [Яшкино],510 кКал,"8,5 г",24 г,66 г
Крендельки Бретцель с Солью [Яшкино],410 кКал,"9,5 г",11 г,69 г
Крендельки с Солью [Яшкино],410 кКал,"9,5 г",11 г,69 г
Крокант [Яшкино],560 кКал,"6,5 г","37,7 г","49,7 г"
Крокант с Миндалем [Яшкино],556 кКал,"6,6 г","37,1 г","49,7 г"
Круасан [Яшкино],180 кКал,3 г,9 г,22 г
Круассан с Вареной Сгущенкой [Яшкино],410 кКал,6 г,20 г,49 г
Круассан с Вишнёвым Джемом [Яшкино],400 кКал,5 г,17 г,54 г
Круассан с Шоколадным Кремом [Яшкино],400 кКал,"6,5 г",19 г,51 г
Круассан со Сливочным Кремом [Яшкино],410 кКал,"6,5 г",19 г,52 г
Леденцы с Соком [Яшкино],362 кКал,0 г,0 г,96 г
Мармелад Сердечки [Яшкино],290 кКал,"0,5 г",0 г,71 г
Мармелад Фруктовый Микс [Яшкино],310 кКал,2 г,0 г,76 г
Мармелад Эки-Боки [Яшкино],310 кКал,2 г,0 г,76 г
Мини Батончик Зебра-Мини [Яшкино],470 кКал,"6,5 г",24 г,58 г
Мини Круассан с Шоколадным Кремом [Яшкино],430 кКал,"6,5 г",21 г,53 г
Мини Круассаны [Яшкино],428 кКал,"5,2 г","20,4 г","52,4 г"
